ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,propiedades_de_la_carcasa_material_de_la_carcasa,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,procesador_procesadores_compatibles,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
2.0,Workstation,disco duro SSD,DisplayPort,wifi,,,Intel,,,GDDR5,,ninguno,,,,,Desktop,,,negro,,empresas,,,,,,,,,,,,,799.0,819.0,809.0,,,,,32.0,,500.0,,,,,,,,1,7.0,,,111.0,,,679.0,833.0,,,,,
143.0,Workstation,,,Ethernet,,,,,,,,,Ethernet 10/100/1000,,,,Desktop,,torre,,,empresas,,,,,,,,,,,,,1059.18,5779.76,3419.47,38.5,16.9,,,,,,,,,,35.0,,,1,,,94.0,,,931.0,,,64.0,,,,
56.0,Workstation,,,Ethernet,,,,,,,,,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,,,"empresas, gaming, principiante, profesional",,,,,,,,,,,,,1126.47,11013.82,6070.14,30.8,15.5,,,,,,,,,,33.0,,,1,,,,,,,,,,,,,
2.0,Workstation,disco duro SSD,,Ethernet,,,,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,negro,,"empresas, gaming, principiante, profesional",,4.0,,,,,,,,,,,1193.98,1698.0,1445.99,30.8,15.5,5.7,,32.0,4800.0,1000.0,,,128.0,,33.0,,,1,15.0,487.0,,2259.0,,57.0,679.0,356.0,,1182.0,,,
13.0,Workstation,disco duro SSD,,,,,,,DDR5,,,,,,,,Desktop,,torre,,,,28.0,,,,,,,,,,,,1405.15,2112.9,1759.03,,,,33.0,32.0,4400.0,1000.0,2.1,5.4,,,,2.1,65.0,1,69.0,487.0,135.0,,866.0,,,833.0,,1182.0,160.0,,749.0
36.0,Workstation,,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,,DDR5,,,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,,,1.0,,,,,,,,,,668.57,2300.96,1484.77,30.8,15.5,,,,,,,,,,33.0,,,1,,,112.0,,,931.0,,,92.0,,,,
48.0,Workstation,,,Ethernet,,,Intel,,,,,,,,,,Desktop,,,negro,,empresas,,,,,,,,,,,,,1190.0,4240.48,2715.24,21.8,21.1,,,,,,,,,,6.0,,,1,,,94.0,,,931.0,,,,,,,
10.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,64.0,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,28.0,4.0,,,,,,,,,,,1415.07,2003.99,1709.53,38.5,16.9,7.2,33.0,32.0,4800.0,1000.0,2.1,5.4,128.0,,35.0,2.1,65.0,1,69.0,374.0,94.0,2259.0,207.0,36.0,3731.0,833.0,64.0,1182.0,160.0,,749.0
9.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,32.0,4.0,,,,,,,,,,,2309.71,4158.92,3234.32,38.5,16.9,7.2,36.0,32.0,4800.0,1000.0,,6.0,,,35.0,3.2,125.0,1,25.0,31.0,94.0,2259.0,866.0,36.0,193.0,356.0,64.0,1182.0,194.0,,
12.0,Workstation,disco duro SSD,USB-C,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,,12.0,8.0,,,,,,,,,,,2196.73,3582.03,2889.38,44.4,16.8,10.5,15.0,32.0,4800.0,1000.0,,4.2,,,38.0,2.1,,1,6.0,63.0,21.0,,2.0,1.0,412.0,15.0,17.0,1182.0,813.0,18.0,3.0
9.0,Workstation,disco duro SSD,,Ethernet,,,,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,,,8.0,,,,,,,,,,,2099.05,3094.52,2596.78,44.4,16.8,10.5,,32.0,4800.0,1000.0,,,512.0,,38.0,,,1,6.0,,21.0,63.0,,931.0,,15.0,17.0,1182.0,,18.0,
10.0,Workstation,disco duro M.2 SSD,,,,,Intel,1.0,DDR4,,,ninguno,,,,,Desktop,,factor de forma pequeño (SFF),negro,,"empresas, principiante",12.0,,,,,,,,,,MSI H510M-A PRO,,403.21,491.38,447.29,41.0,23.0,,18.0,8.0,3200.0,500.0,2.5,4.4,,,48.0,2.5,117.0,1,79.0,202.0,,2259.0,529.0,65.0,3731.0,947.0,,398.0,813.0,,749.0
3.0,Workstation,disco duro SSD,HDMI,"Bluetooth, wifi, Ethernet",Bluetooth 4.0,,,1.0,DDR3,,,,,,,,Desktop,,semitorre,negro,,,,,,,,,,,,,,,784.5,807.64,796.07,16.7,6.7,5.0,25.0,16.0,1866.0,256.0,3.0,3.9,64.0,,25.0,,,1,1.0,1.0,1.0,1.0,,,54.0,,,10.0,589.0,,
10.0,Workstation,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,24.0,4.0,1.0,,,,,,,,,,668.57,1491.27,1079.92,30.8,15.5,6.1,30.0,16.0,4800.0,512.0,,5.2,128.0,,33.0,2.1,65.0,1,105.0,374.0,112.0,,866.0,931.0,3731.0,833.0,92.0,1182.0,337.0,,749.0
11.0,Workstation,disco duro SSD,,,,,Intel,1.0,DDR4,,,ninguno,,,,,Desktop,,factor de forma pequeño (SFF),negro,chapa de acero,"empresas, principiante",8.0,,,,,,,,,,MSI H510M-A PRO,,300.57,374.99,337.78,41.0,23.0,8.0,6.0,8.0,2666.0,240.0,3.6,4.3,,,48.0,,65.0,1,13.0,108.0,,2259.0,123.0,65.0,,190.0,,398.0,397.0,,135.0
11.0,Workstation,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,20.0,4.0,1.0,,,,,,,,,,922.28,1326.59,1124.43,30.8,15.5,,24.0,16.0,4800.0,512.0,,4.8,128.0,,33.0,2.5,65.0,1,84.0,374.0,112.0,,866.0,931.0,3731.0,947.0,92.0,1182.0,163.0,,749.0
12.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,LAN 10/100/1000/2500,,,,Desktop,,torre,negro,,,28.0,4.0,,,,,,,,,,,1476.24,2149.5,1812.87,42.0,17.3,5.0,33.0,16.0,4400.0,512.0,2.1,5.4,128.0,,37.0,2.1,65.0,1,69.0,22.0,96.0,,207.0,,679.0,833.0,,1182.0,160.0,,749.0
11.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,24.0,4.0,,,,,,,,,,,1463.71,2104.47,1784.09,38.5,16.9,7.2,30.0,32.0,4800.0,1000.0,,5.4,,,35.0,3.4,125.0,1,27.0,374.0,94.0,2259.0,866.0,36.0,3731.0,833.0,64.0,1182.0,337.0,,749.0
34.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,64.0,,LAN 10/100/1000/2500,,,,Desktop,,torre,negro,,,32.0,,,,,,,,,,,,1262.8,2379.77,1821.28,42.0,17.3,7.58,36.0,32.0,,1000.0,,6.0,,,37.0,3.2,125.0,1,25.0,374.0,96.0,,866.0,24.0,3731.0,356.0,,1182.0,194.0,,
20.0,Workstation,,,Ethernet,,,,,DDR5,,,,Ethernet 10/100/1000,,,,Desktop,,factor de forma pequeño (SFF),,,empresas,,,,,,,,,,,,,1067.85,2741.95,1904.9,29.3,9.3,,,,,,,,,,29.0,,,1,,,96.0,,,931.0,,,,,,,
1.0,Workstation,disco duro SSD,,Ethernet,Bluetooth 5.1,IEEE 802.11ac,AMD,,DDR4,,64.0,grabadora DVD,Ethernet 10/100/1000,,,,Desktop,lector de tarjetas,torre,negro,,,,8.0,,,1 TB,,,,,,,,7327.45,7327.45,7327.45,46.0,16.5,,16.0,64.0,3200.0,1000.0,,4.2,,,44.0,3.5,,1,1.0,,135.0,2259.0,,931.0,,8.0,,200.0,1.0,,1.0
1.0,Workstation,disco duro M.2 SSD,,Ethernet,,,AMD,1.0,DDR4,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,negro,,"profesional, empresas",16.0,4.0,,,,,,,,,,,1233.43,1233.43,1233.43,31.5,17.0,9.8,32.0,16.0,3200.0,512.0,,4.6,128.0,,37.0,3.4,65.0,1,3.0,23.0,135.0,,159.0,23.0,9.0,295.0,,1182.0,589.0,,478.0
4.0,Workstation,disco duro M.2 SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,,,,,,,,,,,,,1708.04,2129.99,1919.01,38.5,16.9,7.2,36.0,16.0,4800.0,512.0,,5.6,128.0,,35.0,2.0,,1,15.0,715.0,94.0,,866.0,33.0,3731.0,356.0,64.0,1182.0,194.0,,749.0
10.0,Workstation,,,Ethernet,Bluetooth 5.1,IEEE 802.11ac,,,,,,,Ethernet 10/100/1000,,,,Desktop,lector de tarjetas,torre,,,,,,,,,,,,,,,,2282.19,9129.2,5705.7,46.0,16.5,,,,,,,,,,44.0,,,1,,,135.0,,,931.0,,,,,,,
8.0,Workstation,,,Ethernet,,,,,,,,,Ethernet 10/100/1000,,,,Desktop,,,,,"empresas, profesional",,,,,,,,,,,,,1233.43,3127.99,2180.71,31.5,17.0,,,,,,,,,,37.0,,,1,,,135.0,,,931.0,,,,,,,
59.0,Workstation,,,Ethernet,,,,1.0,,,,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,,,,,,,,,,,,,,2099.05,14849.53,8474.29,44.4,16.8,,,,,,,,,,38.0,,,1,,,21.0,,,931.0,,,17.0,1182.0,,18.0,
9.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,,20.0,8.0,,,,,,,,,,,2537.94,3732.63,3135.28,44.4,16.8,10.5,26.0,64.0,4800.0,1000.0,,4.6,512.0,,38.0,3.1,,1,3.0,,21.0,63.0,,931.0,,15.0,17.0,1182.0,233.0,18.0,
8.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,,4.0,,,,,,,,,,,1463.71,2034.87,1749.29,38.5,16.9,7.2,,16.0,4800.0,512.0,,,128.0,,35.0,,,1,15.0,715.0,94.0,2259.0,,33.0,3731.0,356.0,64.0,1182.0,,,
12.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,32.0,4.0,,,,,,,,,,,1659.22,2422.49,2040.86,38.5,16.9,,36.0,32.0,4800.0,1000.0,2.0,5.8,,,35.0,2.0,65.0,1,11.0,374.0,94.0,2259.0,207.0,36.0,3731.0,356.0,64.0,1182.0,194.0,,749.0
11.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,28.0,4.0,,,,,,,,,,,1708.04,2485.43,2096.73,38.5,16.9,7.2,33.0,32.0,4800.0,1000.0,2.1,5.4,,,35.0,2.1,65.0,1,69.0,27.0,94.0,2259.0,207.0,7.0,679.0,833.0,64.0,1182.0,160.0,,749.0
11.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,28.0,4.0,,,,,,,,,,,1952.19,2792.76,2372.48,38.5,16.9,7.2,33.0,32.0,4800.0,1000.0,,5.6,,,35.0,3.4,125.0,1,27.0,63.0,94.0,2259.0,866.0,36.0,412.0,833.0,64.0,1182.0,160.0,,
10.0,Workstation,disco duro SSD,,Ethernet,,,,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,,,8.0,,,,,,,,,,,10252.84,14849.53,12551.19,44.4,16.8,10.5,,64.0,4800.0,1000.0,,,512.0,,38.0,,,1,1.0,1.0,21.0,52.0,,931.0,,15.0,17.0,1182.0,,18.0,
10.0,Workstation,,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,negro,,"empresas, gaming, principiante, profesional",28.0,4.0,,,1 TB,,,,,,,,1903.36,2535.95,2219.65,30.8,15.5,5.7,33.0,32.0,4800.0,1000.0,2.1,5.4,128.0,,33.0,2.1,65.0,1,69.0,487.0,,,207.0,57.0,679.0,833.0,,1182.0,160.0,,749.0
12.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,LAN 10/100/1000/2500,,,,Desktop,,torre,negro,,,28.0,4.0,,,,,,,,,,,1262.8,1787.64,1525.22,42.0,17.3,5.0,33.0,16.0,4400.0,512.0,2.1,5.4,128.0,,37.0,2.1,65.0,1,69.0,,96.0,,207.0,,,833.0,,1182.0,160.0,,749.0
9.0,Workstation,memoria flash,,Ethernet,,,Intel,,DDR5,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,,factor de forma pequeño (SFF),negro,,empresas,28.0,2.0,,,,,,,,512 GB,,,1370.95,1908.84,1639.89,29.3,9.3,3.87,33.0,16.0,5600.0,,2.1,5.4,64.0,,29.0,2.1,65.0,1,69.0,27.0,96.0,,207.0,931.0,679.0,833.0,,,160.0,,749.0
12.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,negro,,"empresas, gaming, principiante, profesional",28.0,4.0,,,1 TB,,,,,,,,2098.68,2967.24,2532.96,30.8,15.5,5.0,33.0,32.0,4800.0,,2.1,5.4,128.0,,33.0,2.1,65.0,1,69.0,487.0,,,207.0,57.0,679.0,1.0,,1182.0,1.0,,749.0
11.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,32.0,4.0,,,,,,,,,,,1805.7,2586.27,2195.99,38.5,16.9,7.2,36.0,32.0,4800.0,1000.0,,6.0,,,35.0,3.2,125.0,1,25.0,374.0,94.0,2259.0,866.0,36.0,3731.0,356.0,64.0,1182.0,194.0,,
10.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,,,,,Desktop,,,negro,,empresas,28.0,2.0,,,,,,,,,,,1513.12,2142.18,1827.65,21.8,21.1,2.4,33.0,16.0,5600.0,1000.0,,5.4,64.0,,6.0,2.1,,1,69.0,27.0,94.0,2259.0,866.0,24.0,679.0,833.0,,1182.0,160.0,,749.0
20.0,Workstation,,,Ethernet,,,,,DDR5,,,,Ethernet 10/100/1000,,,,Desktop,,,,,,,,,,,,,,,,,,1252.86,5192.07,3222.46,22.3,8.7,,,,,,,,,,20.0,,,1,,,135.0,,,931.0,,,,1182.0,,10.0,
9.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,,,,,Desktop,,,negro,,empresas,32.0,2.0,,,,,,,,,,,2196.7,3000.98,2598.84,21.8,21.1,,36.0,32.0,5600.0,1000.0,2.0,5.8,,,6.0,2.0,65.0,1,11.0,63.0,94.0,2259.0,207.0,24.0,412.0,356.0,,1182.0,194.0,,749.0
10.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,negro,,"empresas, gaming, principiante, profesional",28.0,4.0,,,,,,,,,,,1708.04,2416.83,2062.43,30.8,15.5,5.7,33.0,16.0,4800.0,512.0,2.1,5.4,,,33.0,2.1,65.0,1,69.0,183.0,,2259.0,207.0,,412.0,833.0,,1182.0,160.0,,749.0
,Workstation,disco duro M.2 SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,12.0,,1.0,,,,,,,,,,,,,30.8,15.5,,18.0,16.0,,512.0,3.0,4.6,,,33.0,,117.0,1,39.0,202.0,112.0,,529.0,931.0,3731.0,947.0,,1182.0,813.0,,749.0
8.0,Workstation,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.0,,,,,,,,Ethernet 10/100/1000,,,,Desktop,,minitorre,,,empresas,,,,,,,,,,,,,440.94,1279.25,860.1,29.3,9.5,,,,,,,,,,34.0,,,1,,,31.0,,,931.0,,,,,,,
5.0,Workstation,disco duro SSD,,,,,Intel,1.0,DDR4,,,ninguno,,,,,Desktop,,factor de forma pequeño (SFF),negro,,"empresas, principiante",8.0,,,,,,,,,,MSI H510M-A PRO,,352.35,404.42,378.38,41.0,23.0,,12.0,8.0,3200.0,250.0,3.3,4.3,,,48.0,,89.0,1,30.0,202.0,,2259.0,529.0,65.0,3731.0,190.0,,398.0,397.0,,749.0
10.0,Workstation,disco duro mSATA SSD,,Ethernet,,,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,Desktop,,factor de forma pequeño (SFF),negro,,"empresas, principiante",12.0,2.0,,,,,,canal 7.1,,,MSI H510M-A PRO,,355.71,434.61,395.16,41.0,23.0,,12.0,8.0,2400.0,480.0,2.9,4.3,64.0,,48.0,,65.0,1,133.0,108.0,,2259.0,123.0,65.0,3731.0,947.0,,165.0,813.0,,135.0
36.0,Workstation,,HDMI,,,,Intel,1.0,DDR4,,,ninguno,,,,,Desktop,,factor de forma pequeño (SFF),negro,,"empresas, principiante",,,,,,,,,,,MSI H510M-A PRO,,300.57,491.38,395.98,41.0,23.0,,,,,,,,,,48.0,,,1,,,,,,65.0,,,,,,,
2.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,64.0,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,32.0,,,,,,,,,,,,1887.58,2470.99,2179.28,38.5,16.9,,36.0,32.0,,1000.0,3.0,5.8,,,35.0,3.0,125.0,1,19.0,374.0,94.0,,866.0,931.0,3731.0,356.0,64.0,1182.0,194.0,,749.0
2.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,,,,,Desktop,,,negro,,empresas,,2.0,,,,,,,,,,,1190.0,1565.98,1377.99,21.8,21.1,2.4,20.0,16.0,4800.0,512.0,,4.9,64.0,,6.0,3.7,,1,1.0,22.0,94.0,,,24.0,124.0,947.0,,200.0,233.0,,
1.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,,,,,Desktop,,,negro,,empresas,24.0,2.0,,,,,,,,,,,1609.0,1609.0,1609.0,21.8,21.1,2.4,24.0,16.0,5600.0,512.0,,5.2,,,6.0,2.1,,1,105.0,63.0,94.0,2259.0,866.0,24.0,412.0,833.0,,1182.0,589.0,,749.0
