ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,propiedades_de_la_carcasa_material_de_la_carcasa,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,procesador_procesadores_compatibles,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
3.0,Workstation,disco duro M.2 SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,,ninguno,LAN 10/100/1000/2500,,,,Desktop,,torre,negro,,,28.0,4.0,,,,,,,,,,,1858.99,1859.95,1859.47,42.0,17.3,7.58,33.0,32.0,4400.0,1000.0,2.1,5.4,128.0,,37.0,2.1,65.0,1,69.0,22.0,96.0,86.0,207.0,65.0,679.0,833.0,,1182.0,160.0,,749.0
3.0,Workstation,,,Ethernet,,,,,,,,,Ethernet 10/100/1000,,,,Desktop,,torre,,,empresas,,,,,,,,,,,Intel W580,,1394.99,2422.8,1908.89,31.5,17.0,,,,,,,,,,37.0,,,1,,,135.0,,,931.0,,,,,,,
7.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,,negro,,,24.0,4.0,,,,,,,,,,,1979.55,2222.99,2101.27,22.3,8.7,3.6,30.0,16.0,4800.0,512.0,2.1,5.2,128.0,,20.0,2.1,219.0,1,105.0,22.0,135.0,,866.0,9.0,679.0,833.0,,1182.0,337.0,10.0,749.0
3.0,Workstation,disco duro M.2 SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,,ninguno,LAN 10/100/1000/2500,,,,Desktop,,torre,negro,,,32.0,4.0,,,,,,,,,,,1742.56,2049.13,1895.85,42.0,17.3,7.58,36.0,32.0,4400.0,1000.0,,6.0,128.0,,37.0,3.2,125.0,1,25.0,374.0,96.0,86.0,866.0,24.0,3731.0,356.0,,1182.0,194.0,,
4.0,Workstation,,,Ethernet,,,,,DDR4,,,,,,,,Desktop,,factor de forma pequeño (SFF),,,,,,,,,,,,,,,,1990.99,6115.92,4053.45,21.6,21.6,,,,,,,,,,5.0,,,1,,,,,,931.0,,,,,,,
9.0,Workstation,disco duro SSD,,,,,,,DDR5,,,,,,,,Desktop,,,,,,28.0,,,,,,,,,,,,1104.04,1516.19,1310.12,,,,33.0,32.0,4800.0,1000.0,2.1,5.4,,,,2.1,65.0,1,69.0,63.0,135.0,,866.0,,,833.0,,1182.0,160.0,,749.0
4.0,Workstation,disco duro M.2 SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,24.0,,1.0,,,,,,,,,,1076.68,1461.43,1269.06,30.8,15.5,,30.0,16.0,,512.0,2.1,5.2,,,33.0,2.1,219.0,1,105.0,374.0,112.0,2259.0,866.0,931.0,3731.0,833.0,,1182.0,337.0,,749.0
2.0,Workstation,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.0,,Intel,,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,minitorre,negro,,empresas,20.0,4.0,,,,,,,,,,,737.89,888.9,813.39,29.3,9.5,7.0,25.0,16.0,,512.0,2.1,4.9,128.0,,34.0,,180.0,1,52.0,374.0,31.0,,529.0,931.0,,833.0,,,297.0,,749.0
2.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,32.0,,,,,,,,,,,,3525.99,5779.76,4652.88,38.5,16.9,,36.0,32.0,,1000.0,3.0,5.8,,,35.0,3.0,125.0,1,19.0,31.0,94.0,,866.0,931.0,,356.0,64.0,1182.0,194.0,,749.0
2.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,negro,,"empresas, gaming, principiante, profesional",20.0,4.0,,,,,,,,,,,2050.0,2901.1,2475.55,30.8,15.5,5.7,25.0,32.0,4800.0,1000.0,2.1,4.9,128.0,,33.0,,180.0,1,52.0,90.0,,,529.0,,679.0,833.0,,200.0,297.0,,749.0
2.0,Workstation,disco duro SSD,,Ethernet,Bluetooth 5.1,IEEE 802.11ac,AMD,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,lector de tarjetas,torre,negro,,,,4.0,,,,,,,,,,,8264.92,8528.71,8396.81,46.0,16.5,,,64.0,3200.0,1000.0,,4.5,,,44.0,3.8,,1,2.0,63.0,135.0,2259.0,,931.0,412.0,8.0,,200.0,,,
1.0,Workstation,disco duro SSD,,Ethernet,,,,1.0,DDR5,,,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,,,,,,,,,,,,,3251.8,3251.8,3251.8,38.5,16.9,,,32.0,,1000.0,,,,,35.0,,,1,15.0,374.0,94.0,,,931.0,3731.0,356.0,64.0,1182.0,,,
1.0,Workstation,disco duro SSD,,Ethernet,Bluetooth 5.1,IEEE 802.11ac,,1.0,,,64.0,,Ethernet 10/100/1000,,,,Desktop,lector de tarjetas,torre,,,,,,,,,,,,,,,,2576.86,2576.86,2576.86,46.0,16.5,,,32.0,,1000.0,,,,,44.0,,,1,2.0,,135.0,2259.0,,931.0,,,,1182.0,,,
2.0,Workstation,disco duro SSD,,Ethernet,Bluetooth 5.1,IEEE 802.11ac,,1.0,,,64.0,,Ethernet 10/100/1000,,,,Desktop,lector de tarjetas,torre,,,,,,,,,,,,,,,,3667.63,4248.19,3957.91,46.0,16.5,,,64.0,,1000.0,,,,,44.0,,,1,2.0,,135.0,2259.0,,931.0,,,,1182.0,,,
3.0,Workstation,disco duro M.2 SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,,negro,,empresas,24.0,2.0,,,,,,,,,,,2595.0,3538.42,3066.71,21.8,21.1,2.4,30.0,32.0,4800.0,1000.0,5.0,5.1,64.0,,6.0,,65.0,1,20.0,63.0,94.0,2259.0,529.0,24.0,412.0,356.0,,200.0,337.0,,749.0
4.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR4,,64.0,ninguno,,,,,Desktop,,factor de forma pequeño (SFF),negro,,,20.0,2.0,,,,,,,,,,,1990.99,6115.92,4053.45,21.6,21.6,2.1,20.0,32.0,3200.0,512.0,2.8,5.2,,,5.0,,65.0,1,2.0,2.0,,2259.0,52.0,24.0,124.0,356.0,,200.0,233.0,,135.0
1.0,Workstation,disco duro M.2 SSD,,Ethernet,Bluetooth 4.2,IEEE 802.11ac,,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,,,,2.0,,2.0,,,,,,,1874.22,1874.22,1874.22,43.0,18.0,14.5,,32.0,2933.0,512.0,,,128.0,,38.0,,,1,7.0,15.0,135.0,2259.0,,1.0,,,,200.0,,9.0,
2.0,Workstation,disco duro M.2 SSD,DisplayPort,Ethernet,Bluetooth 5.0,IEEE 802.11ac,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,20.0,,,,,,,,,,Intel W580,,1394.99,1394.99,1394.99,31.5,17.0,,20.0,16.0,3200.0,512.0,2.8,5.2,128.0,,37.0,,65.0,1,2.0,108.0,135.0,1.0,52.0,67.0,3731.0,356.0,,200.0,233.0,,135.0
1.0,Workstation,disco duro SSD,,wifi,,,Intel,,,,,,,,,,Desktop,,desktop,,,empresas,,,,,,,,,,,,,9459.9,9459.9,9459.9,,,,,128.0,,2000.0,,,,,,,,1,,76.0,,2259.0,,,,15.0,,1182.0,,,
2.0,Workstation,disco duro M.2 SSD,Mini-DisplayPort,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,,Intel,1.0,DDR5,GDDR6,,,Ethernet 10/100/1000,,,,Desktop,,torre,,,empresas,20.0,,,,,,,,,,,,1510.35,2683.51,2096.93,31.6,17.0,,25.0,16.0,,512.0,2.1,4.9,,,37.0,,180.0,1,52.0,63.0,135.0,111.0,529.0,931.0,412.0,833.0,,200.0,297.0,,749.0
1.0,Workstation,disco duro SSD,,wifi,,,AMD,,,,,,,,,,Desktop,,,negro,,,,,,,,,,,,,,,17749.9,17749.9,17749.9,,,,,64.0,,2000.0,,,,,,,,1,1.0,,,2259.0,,1.0,,8.0,,1182.0,,,
1.0,Workstation,disco duro SSD,,Ethernet,,,,1.0,,,64.0,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,,,,,,,,,,,,,,8066.99,8066.99,8066.99,44.4,16.8,,,64.0,,1000.0,,,,,38.0,,,1,3.0,31.0,21.0,,,931.0,193.0,,17.0,1182.0,,18.0,
1.0,Workstation,disco duro SSD,,wifi,,,Intel,,,,,,,,,,Desktop,,desktop,,,empresas,,,,,,,,,,,,,11559.9,11559.9,11559.9,,,,,128.0,,2000.0,,,,,,,,1,,1.0,,2259.0,,,,15.0,,1182.0,,,
2.0,Workstation,disco duro M.2 SSD,,Ethernet,,,AMD,1.0,DDR4,,,ninguno,,,,,Desktop,,torre,negro,,empresas,24.0,4.0,,,,,,,,,,,1860.79,2593.68,2227.23,43.0,17.3,,64.0,32.0,3200.0,1000.0,,4.5,128.0,,41.0,4.1,280.0,1,4.0,,,86.0,,7.0,,8.0,,1182.0,297.0,,
1.0,Workstation,disco duro SSD,,wifi,,,AMD,,,,,,,,,,Desktop,,desktop,,,empresas,,,,,,,,,,,,,20579.9,20579.9,20579.9,,,,,64.0,,2000.0,,,,,,,,1,1.0,2.0,,2259.0,,,,8.0,,1182.0,,,
2.0,Workstation,disco duro M.2 SSD,,Ethernet,,,AMD,1.0,DDR4,GDDR6,,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,,,"profesional, empresas",16.0,4.0,,,,,,,,,,,2179.99,2286.12,2233.05,31.5,17.0,,32.0,32.0,3200.0,1000.0,,4.6,128.0,,37.0,3.4,65.0,1,3.0,23.0,135.0,,,931.0,15.0,295.0,,1182.0,589.0,,
2.0,Workstation,disco duro SSD,HDMI,Ethernet,,,AMD,1.0,DDR4,GDDR6X,64.0,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,negro,,"profesional, empresas",24.0,4.0,,,,,,,,,,,3127.21,3127.99,3127.6,31.5,17.0,9.8,64.0,32.0,3200.0,1000.0,3.0,4.7,128.0,,37.0,3.0,,1,1.0,23.0,135.0,,,23.0,9.0,108.0,,1182.0,297.0,,
1.0,Workstation,disco duro SSD,,wifi,,,Intel,,,,,,,,,,Desktop,,desktop,,,empresas,,,,,,,,,,,,,8139.9,8139.9,8139.9,,,,,128.0,,2000.0,,,,,,,,1,,487.0,,2259.0,,,,15.0,,1182.0,,,
3.0,Workstation,disco duro SSD,,Ethernet,,,,1.0,DDR5,,64.0,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,,,,,,,,,,,,,,4188.72,6448.39,5318.56,44.4,16.8,,,64.0,,1000.0,,,,,38.0,,,1,6.0,31.0,21.0,,,931.0,193.0,,17.0,1182.0,,18.0,
1.0,Workstation,disco duro SSD,,"Ethernet, wifi",,IEEE 802.11ax,,1.0,,,,ninguno,Ethernet 10/100/1000,,,,Desktop,,semitorre,,,empresas,,,,,,,,,,,,,827.99,827.99,827.99,42.1,18.5,,,32.0,,1000.0,,,,,46.0,,,1,22.0,202.0,,2259.0,,931.0,3731.0,,,398.0,,,
1.0,Workstation,disco duro SSD,,wifi,,,Intel,,,,,,,,,,Desktop,,desktop,,,empresas,,,,,,,,,,,,,17609.9,17609.9,17609.9,,,,,256.0,,2000.0,,,,,,,,1,,2.0,,2259.0,,,,15.0,,,,,
1.0,Workstation,disco duro SSD,,wifi,,,AMD,,,,,,,,,,Desktop,,,negro,,,,,,,,,,,,,,,7319.9,7319.9,7319.9,,,,,128.0,,2000.0,,,,,,,,1,,487.0,,2259.0,,1.0,679.0,8.0,,389.0,,,
1.0,Workstation,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,6.0,4.0,1.0,,,,,,,,,,1484.22,1484.22,1484.22,30.8,15.5,6.13,18.0,8.0,4800.0,512.0,,4.6,128.0,,33.0,3.0,65.0,1,39.0,374.0,112.0,2259.0,529.0,43.0,3731.0,947.0,92.0,200.0,813.0,,
2.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,grabadora DVD,Ethernet 10/100/1000,,,,Desktop,,factor de forma pequeño (SFF),negro,,empresas,24.0,,,,,,,,,,,,1067.85,2289.08,1678.46,29.3,9.3,,,16.0,,512.0,,5.2,,,29.0,2.1,,1,105.0,27.0,96.0,,,13.0,124.0,833.0,,1182.0,337.0,,
2.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,24.0,4.0,,,,,,,,,,,1283.02,1698.0,1490.51,38.5,16.9,7.2,30.0,32.0,4800.0,1000.0,,5.4,128.0,,35.0,3.4,125.0,1,27.0,374.0,94.0,2259.0,866.0,33.0,3731.0,833.0,64.0,1182.0,337.0,,749.0
1.0,Workstation,disco duro M.2 SSD,Mini-DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,,ninguno,,,,,Desktop,,,negro,,empresas,20.0,,,,,,,,,,,,1342.71,1342.71,1342.71,21.8,21.1,,24.0,16.0,4800.0,512.0,,5.0,,,6.0,2.6,,1,36.0,10.0,94.0,2259.0,,24.0,124.0,947.0,,1182.0,163.0,,
2.0,Workstation,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,,factor de forma pequeño (SFF),negro,,empresas,28.0,4.0,,,,,,,,,,,1576.2,1726.84,1651.52,29.3,9.3,,33.0,16.0,5600.0,512.0,2.1,5.4,128.0,,29.0,2.1,65.0,1,69.0,22.0,96.0,2259.0,207.0,13.0,679.0,833.0,,1182.0,160.0,,749.0
2.0,Workstation,disco duro M.2 SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,,,,,,,Desktop,,,negro,,,32.0,,,,,,,,,,,,2481.9,2501.69,2491.8,22.3,8.7,,36.0,64.0,,1000.0,3.2,6.0,,,20.0,3.2,125.0,1,25.0,374.0,135.0,2259.0,207.0,931.0,3731.0,356.0,,1182.0,194.0,,
1.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,,,8.0,,,1 TB,,,,,,,,4559.0,4559.0,4559.0,44.4,16.8,,,32.0,4800.0,1000.0,,4.3,512.0,,38.0,3.1,,1,1.0,31.0,21.0,,,931.0,193.0,15.0,17.0,1182.0,589.0,18.0,
1.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,,,,,Desktop,,,negro,,empresas,24.0,2.0,,,1 TB,,,,,,,,1559.25,1559.25,1559.25,21.8,21.1,2.4,30.0,32.0,5600.0,1000.0,2.1,5.2,64.0,,6.0,2.1,219.0,1,105.0,374.0,94.0,,866.0,24.0,3731.0,833.0,,1182.0,337.0,,749.0
2.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,,,8.0,,,1 TB,,,,,,,,3090.0,3772.2,3431.1,44.4,16.8,,15.0,32.0,4800.0,1000.0,,4.2,512.0,,38.0,2.1,,1,6.0,27.0,21.0,,,931.0,124.0,15.0,17.0,1182.0,813.0,18.0,
1.0,Workstation,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,,,,,,,,,,,,,,4621.5,4621.5,4621.5,44.4,16.8,,,32.0,4800.0,512.0,,4.4,,,38.0,3.0,,1,6.0,,21.0,,,931.0,,,17.0,1182.0,,18.0,
1.0,Workstation,disco duro M.2 SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,32.0,,,,,,,,,,,,2656.99,2656.99,2656.99,38.5,16.9,,36.0,32.0,4800.0,1000.0,,6.0,128.0,,35.0,3.2,125.0,1,25.0,374.0,94.0,86.0,866.0,33.0,3731.0,356.0,64.0,1182.0,194.0,,
1.0,Workstation,disco duro M.2 SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,32.0,4.0,,,,,,,,,,,3296.08,3296.08,3296.08,38.5,16.9,7.2,36.0,32.0,4800.0,1000.0,,5.8,128.0,,35.0,2.2,125.0,1,19.0,31.0,94.0,,866.0,33.0,193.0,356.0,64.0,1182.0,194.0,,749.0
2.0,Workstation,disco duro M.2 SSD,Mini-DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,,,,,,,Desktop,,,negro,,empresas,24.0,,,,,,,,,,,,2495.0,2525.0,2510.0,21.8,21.1,,30.0,32.0,5600.0,1000.0,,5.4,,,6.0,3.4,125.0,1,27.0,63.0,94.0,2259.0,866.0,931.0,412.0,833.0,,1182.0,337.0,,749.0
2.0,Workstation,disco duro M.2 SSD,Mini-DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,,,,,,,Desktop,,,negro,,,32.0,,,,,,,,,,,,4148.8,4201.72,4175.26,22.3,8.7,,36.0,64.0,,1000.0,2.0,5.8,,,20.0,2.0,65.0,1,11.0,,135.0,2259.0,207.0,931.0,9.0,356.0,,1182.0,194.0,,
1.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,,,,,Desktop,,,negro,,empresas,32.0,2.0,,,1 TB,,,,,,,,2873.85,2873.85,2873.85,21.8,21.1,2.4,36.0,32.0,5600.0,,,5.8,,,6.0,2.0,,1,11.0,63.0,94.0,,866.0,24.0,193.0,356.0,,1182.0,194.0,,749.0
2.0,Workstation,disco duro M.2 SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,32.0,,,,,,,,,,,,2639.21,2666.31,2652.76,38.5,16.9,,36.0,64.0,4800.0,2000.0,,6.0,,,35.0,3.2,125.0,1,25.0,374.0,94.0,86.0,866.0,33.0,3731.0,356.0,64.0,1182.0,194.0,,
1.0,Workstation,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,negro,,"empresas, gaming, principiante, profesional",32.0,,,,,,,,,,,,11013.82,11013.82,11013.82,30.8,15.5,,36.0,64.0,4800.0,2000.0,,6.0,,,33.0,3.2,125.0,1,25.0,31.0,,86.0,866.0,6.0,19.0,356.0,,1182.0,194.0,,
1.0,Workstation,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,negro,,"empresas, gaming, principiante, profesional",24.0,4.0,,,,,,,,,,,1651.51,1651.51,1651.51,30.8,15.5,5.7,24.0,16.0,4800.0,512.0,,5.1,128.0,,33.0,2.1,65.0,1,105.0,183.0,,2259.0,866.0,,412.0,833.0,,1182.0,337.0,,749.0
1.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,24.0,4.0,,,,,,,,,,,2095.0,2095.0,2095.0,38.5,16.9,7.2,30.0,16.0,4800.0,512.0,2.1,5.2,128.0,,35.0,2.1,219.0,1,105.0,63.0,94.0,,866.0,10.0,412.0,833.0,64.0,1182.0,337.0,,749.0
1.0,Workstation,disco duro M.2 SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,28.0,,,,,,,,,,,,2762.68,2762.68,2762.68,38.5,16.9,,33.0,32.0,4800.0,1000.0,,5.6,,,35.0,3.4,125.0,1,27.0,12.0,94.0,86.0,866.0,33.0,679.0,833.0,64.0,1182.0,160.0,,
2.0,Workstation,disco duro SSD,,Ethernet,,,,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,,,8.0,,,,,,,,,,,2960.72,2960.72,2960.72,44.4,16.8,10.5,,32.0,4800.0,1000.0,,,512.0,,38.0,,,1,6.0,63.0,21.0,63.0,,931.0,412.0,15.0,17.0,1182.0,,18.0,
1.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,,1.0,DDR5,GDDR6,64.0,ninguno,,,,,Desktop,,,negro,,empresas,,2.0,,,,,,,,,,,1948.56,1948.56,1948.56,21.8,21.1,2.4,24.0,16.0,5600.0,512.0,,5.2,64.0,,6.0,2.1,,1,105.0,,94.0,,,24.0,2.0,833.0,,1182.0,337.0,,
1.0,Workstation,disco duro M.2 SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,,,,,Desktop,,,negro,,empresas,24.0,2.0,,,,,,,,,,,2322.96,2322.96,2322.96,21.8,21.1,2.4,30.0,16.0,4800.0,512.0,,5.1,64.0,,6.0,2.1,65.0,1,105.0,27.0,94.0,,866.0,24.0,679.0,833.0,,1182.0,337.0,,749.0
1.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,24.0,4.0,,,,,,,,,,,1795.0,1795.0,1795.0,38.5,16.9,7.2,30.0,16.0,4800.0,512.0,2.1,5.2,128.0,,35.0,2.1,219.0,1,105.0,374.0,94.0,,866.0,33.0,3731.0,833.0,64.0,1182.0,337.0,,749.0
1.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,,LAN 10/100/1000/2500,,,,Desktop,,torre,negro,,,28.0,,,,,,,,,,,,2379.77,2379.77,2379.77,42.0,17.3,,33.0,32.0,,1000.0,2.1,5.4,128.0,,37.0,2.1,65.0,1,69.0,24.0,96.0,,207.0,65.0,193.0,833.0,,1182.0,160.0,,749.0
